date,food,amnt_g,kcal,protein,fat,ch,fiber,net_ch,type,meal,week,weekday,year
28/10/2021,Tojás,105,150.15,13.23,9.975,0.735,0,0.735,Protein,Reggeli,44,Thursday,2021
28/10/2021,Tortilla tekercs,63,217.35,6.111,5.544,34.713,1.953,32.76,Carbs,Reggeli,44,Thursday,2021
28/10/2021,Szalonna,70,291.9,8.82,27.79,0.91,0,0.91,Protein,Reggeli,44,Thursday,2021
28/10/2021,Brokkoli,105,35.7,2.94,0.42,4.2,0.84,3.36,Fruits&Vegetables,Reggeli,44,Thursday,2021
28/10/2021,Kelbimbó,70,30.1,2.38,0.21,3.64,0.98,2.66,Fruits&Vegetables,Reggeli,44,Thursday,2021
28/10/2021,Cékla,40,17.2,0.64,0.08,3.84,1.12,2.72,Fruits&Vegetables,Reggeli,44,Thursday,2021
28/10/2021,Narancs,76,35.72,0.684,0.076,7.144,0.38,6.764,Fruits&Vegetables,Reggeli,44,Thursday,2021
28/10/2021,Kiwi,40,24.4,0.44,0.2,4.68,0.32,4.36,Fruits&Vegetables,Reggeli,44,Thursday,2021
28/10/2021,puszta saláta,40,14.4,0.6,0.2,2.32,0.8,1.52,Fruits&Vegetables,Reggeli,44,Thursday,2021
28/10/2021,Ricotta,35,60.9,3.955,4.55,1.05,0,1.05,Cheese,Reggeli,44,Thursday,2021
28/10/2021,Fokhagyma,6,8.94,0.384,0.03,1.86,0.048,1.812,Fruits&Vegetables,Reggeli,44,Thursday,2021
28/10/2021,Kókuszolaj,8,72,0,7.28,0,0,0,Fats,Reggeli,44,Thursday,2021
28/10/2021,Tzatziki mártás olivabogyóval,70,90.3,1.12,8.68,2.17,0.21,1.33,Fats,Reggeli,44,Thursday,2021
28/10/2021,Fehérjepor,35,136.5,25.55,1.75,4.2,0,4.2,Protein,Vacsora,44,Thursday,2021
28/10/2021,Kesudió,10,55.3,1.82,4.39,2.69,0.14,2.55,Nuts&Seeds,Vacsora,44,Thursday,2021
28/10/2021,Dió,10,65.4,1.52,6.52,0.7,0.28,0.42,Nuts&Seeds,Vacsora,44,Thursday,2021
28/10/2021,Mandulatej,300,45,2.1,3,1.5,1.5,0,Misc,Vacsora,44,Thursday,2021
28/10/2021,Kakaó 99%,5,29.5,0.75,2.55,0.4,0,0.4,Fats,Vacsora,44,Thursday,2021
28/10/2021,Mogyoróvaj,25,158.5,6.75,13.25,2.125,0,2.125,Nuts&Seeds,Vacsora,44,Thursday,2021
28/10/2021,Banán,118,105.02,1.298,0.354,23.836,3.068,20.768,Fruits&Vegetables,Vacsora,44,Thursday,2021
28/10/2021,Szőlő,52,35.88,0.364,0.104,8.944,0.676,8.268,Fruits&Vegetables,Vacsora,44,Thursday,2021
28/10/2021,Áfonya,34,15.64,0.136,0.034,2.822,0.816,2.006,Fruits&Vegetables,Vacsora,44,Thursday,2021
