date,Month,Week,Weight_kg,day,loss_from_prev_day,loss_from_prev_day_pct,tgt_kcal,tgt_fat,tgt_prot,tgt_ch,weekday,year
30/04/2021,4,18,134,1,,,2200,,,,Friday,2021
01/05/2021,5,18,134,2,0,0,2200,,,,Saturday,2021
02/05/2021,5,18,133,3,1,0.007462687,2200,,,,Sunday,2021
03/05/2021,5,19,132.4,4,0.6,0.004511278,2200,,,,Monday,2021
04/05/2021,5,19,132,5,0.4,0.003021148,2200,,,,Tuesday,2021
05/05/2021,5,19,132,6,0,0,2200,,,,Wednesday,2021
06/05/2021,5,19,132,7,0,0,2200,,,,Thursday,2021
07/05/2021,5,19,132,8,0,0,2200,,,,Friday,2021
08/05/2021,5,19,132,9,0,0,2200,,,,Saturday,2021
09/05/2021,5,19,132,10,0,0,2200,,,,Sunday,2021
10/05/2021,5,20,131.7,11,0.3,0.002272727,2200,,,,Monday,2021
11/05/2021,5,20,131,12,0.7,0.00531511,2200,,,,Tuesday,2021
12/05/2021,5,20,131,13,0,0,2200,,,,Wednesday,2021
13/05/2021,5,20,130.6,14,0.4,0.003053435,2200,,,,Thursday,2021
14/05/2021,5,20,131.5,15,-0.9,-0.006891271,2200,,,,Friday,2021
15/05/2021,5,20,132,16,-0.5,-0.003802281,2200,,,,Saturday,2021
16/05/2021,5,20,132,17,0,0,2200,,,,Sunday,2021
17/05/2021,5,21,131.8,18,0.2,0.001515152,2200,,,,Monday,2021
18/05/2021,5,21,131.8,19,0,0,2200,,,,Tuesday,2021
19/05/2021,5,21,131.8,20,0,0,2200,,,,Wednesday,2021
20/05/2021,5,21,131.8,21,0,0,2200,,,,Thursday,2021
21/05/2021,5,21,130.8,22,1,0.007587253,2200,,,,Friday,2021
22/05/2021,5,21,130.8,23,0,0,2200,,,,Saturday,2021
23/05/2021,5,21,129.9,24,0.9,0.006880734,2200,,,,Sunday,2021
24/05/2021,5,22,129.9,25,0,0,2200,,,,Monday,2021
25/05/2021,5,22,129.9,26,0,0,2200,,,,Tuesday,2021
26/05/2021,5,22,129.6,27,0.3,0.002309469,2200,,,,Wednesday,2021
27/05/2021,5,22,129.5,28,0.1,0.000771605,2200,,,,Thursday,2021
28/05/2021,5,22,129.5,29,0,0,2200,,,,Friday,2021
29/05/2021,5,22,129.5,30,0,0,2200,,,,Saturday,2021
30/05/2021,5,22,129,31,0.5,0.003861004,2200,,,,Sunday,2021
31/05/2021,5,23,129,32,0,0,2200,,,,Monday,2021
01/06/2021,6,23,129,33,0,0,2200,,,,Tuesday,2021
02/06/2021,6,23,129,34,0,0,2200,,,,Wednesday,2021
03/06/2021,6,23,129,35,0,0,2200,,,,Thursday,2021
04/06/2021,6,23,129,36,0,0,2200,,,,Friday,2021
05/06/2021,6,23,129,37,0,0,2200,,,,Saturday,2021
06/06/2021,6,23,129,38,0,0,2200,,,,Sunday,2021
07/06/2021,6,24,129,39,0,0,2200,,,,Monday,2021
08/06/2021,6,24,129,40,0,0,2200,,,,Tuesday,2021
09/06/2021,6,24,129,41,0,0,2200,,,,Wednesday,2021
10/06/2021,6,24,129,42,0,0,2200,,,,Thursday,2021
11/06/2021,6,24,129,43,0,0,2200,,,,Friday,2021
12/06/2021,6,24,129,44,0,0,2200,,,,Saturday,2021
13/06/2021,6,24,128,45,1,0.007751938,2200,,,,Sunday,2021
14/06/2021,6,25,128,46,0,0,2200,,,,Monday,2021
15/06/2021,6,25,128,47,0,0,2200,,,,Tuesday,2021
16/06/2021,6,25,128,48,0,0,2200,,,,Wednesday,2021
17/06/2021,6,25,128,49,0,0,2200,,,,Thursday,2021
18/06/2021,6,25,128.4,50,-0.4,-0.003125,2200,,,,Friday,2021
19/06/2021,6,25,128.4,51,0,0,2200,,,,Saturday,2021
20/06/2021,6,25,128.4,52,0,0,2200,,,,Sunday,2021
21/06/2021,6,26,128.4,53,0,0,2200,,,,Monday,2021
22/06/2021,6,26,128.4,54,0,0,2200,,,,Tuesday,2021
23/06/2021,6,26,128.4,55,0,0,2200,,,,Wednesday,2021
24/06/2021,6,26,127.3,56,1.1,0.008566978,2200,,,,Thursday,2021
25/06/2021,6,26,127.3,57,0,0,2200,,,,Friday,2021
26/06/2021,6,26,127.2,58,0.1,0.000785546,2200,,,,Saturday,2021
27/06/2021,6,26,127.2,59,0,0,2200,,,,Sunday,2021
28/06/2021,6,27,127.2,60,0,0,2200,,,,Monday,2021
29/06/2021,6,27,127.3,61,-0.1,-0.000786164,2200,,,,Tuesday,2021
30/06/2021,6,27,126.8,62,0.5,0.00392773,2200,,,,Wednesday,2021
01/07/2021,7,27,126.8,63,0,0,2200,,,,Thursday,2021
02/07/2021,7,27,126.8,64,0,0,2200,,,,Friday,2021
03/07/2021,7,27,126.8,65,0,0,2200,,,,Saturday,2021
04/07/2021,7,27,126.8,66,0,0,2200,,,,Sunday,2021
05/07/2021,7,28,126.8,67,0,0,2200,,,,Monday,2021
06/07/2021,7,28,126.8,68,0,0,2200,,,,Tuesday,2021
07/07/2021,7,28,125.5,69,1.3,0.010252366,2200,,,,Wednesday,2021
08/07/2021,7,28,125.5,70,0,0,2200,,,,Thursday,2021
09/07/2021,7,28,125.7,71,-0.2,-0.001593625,2200,,,,Friday,2021
10/07/2021,7,28,125.7,72,0,0,2200,,,,Saturday,2021
